organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,first_contribution,last_contribution
kitconcept,2029,441,10,"ericof, fredvd, iFlameing, iRohitSingh, jackahl, jaroel, reebalazs, sneridagh, steffenri, tisto",54,".github, 2023.ploneconf.org, Products.CMFPlone, admin-team, blocks-conversion-tool, buildout.coredev, critical-css-cli, demo.plone.org, jenkins.plone.org, mockup, old_plone.org, pastanaga-icons, plone-backend, plone-frontend, plone-zeo, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.users, plone.app.widgets, plone.app.workflow, plone.formwidget.hcaptcha, plone.i18n, plone.locking, plone.nl, plone.recipe.zope2instance, plone.registry, plone.rest, plone.restapi, plone.schema, plone.volto, ploneconf.org, ploneorg.theme, plonetheme.barceloneta, setup-plone, training, volto, volto-addon-ci, volto-quanta, volto-quanta-project",2021-01-03,2021-12-26
py76,1084,150,1,mauritsvanrees,83,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.PloneHotfix20210518, Products.PlonePAS, Products.PortalTransforms, Products.contentmigration, Products.isurlinportal, archetypes.multilingual, archetypes.schemaextender, bobtemplates.plone, buildout.coredev, diazo, documentation, five.intid, meta, mockup, mr.roboto, plone.api, plone.app.blob, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoinclude, plone.cachepurging, plone.dexterity, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.memoize, plone.namedfile, plone.recipe.zope2instance, plone.releaser, plone.reload, plone.rest, plone.restapi, plone.schemaeditor, plone.staticresources, plone.supermodel, plone.testing, plone.tiles, plone.volto, plonetheme.barceloneta, training",2021-01-03,2021-12-26
Independent,634,308,92,"1bsilver, 2silver, AlexBueckig, Gomez, MarcoCouto, MatthewWilkes, Rudd-O, Thokas, ThomasKindermann, agroszer, albertcasado, alecghica, alecpm, andreasma, andreesg, arky, balavec, barcafa, basvanberckel, bduncan137, bipoza, cdw9, cjwatson, cleberjsantos, craftsbyshuvro, csenger, daggelpop, damiDev8, danielamormocea, deiferni, dgsmith2, duchenean, esteele, faustoonna, flipmcf, frisi, fulv, gamboz, gbastien, ghost, iham, jianaijun, jihaisse, jimbiscuit, jlp0328, jmevissen, jordic, jotare, jugmac00, julienCarret, kreafox, krissik, ladplone, lferran, loechel, maethu, masipcat, mgedmin, michaellaunay, mtrebron, niglesiaszingoni, nilshofer, nzambello, pfreixes, raulclay, razvanMiu, rexalex, robdayz, rpatterson, sallner, santonelli, sauzher, sgeulette, shotat, silviot, silviubogan, spereverde, sverbois, talarias, terapyon, thomasmassmann, tschorr, valentinab25, valipod, vangheem, veit, veritazx, vincentfretin, witsch, wolbernd, woolyseal, zopyx",82,"2023.ploneconf.org, Products.Archetypes, Products.CMFEditions, Products.CMFPlone, Products.PlonePAS, Products.PloneTestCase, Products.isurlinportal, ansible.plone_server, archetypes.querywidget, bobtemplates.plone, buildout.coredev, critical-css-cli, diazo, documentation, guillotina, guillotina_elasticsearch, guillotina_gcloudstorage, meta, mockup, mr.roboto, pastanaga-angular, planet.plone.org, plone-backend, plone-frontend, plone-haproxy, plone.api, plone.app.blob, plone.app.caching, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.drafts, plone.app.event, plone.app.imaging, plone.app.iterate, plone.app.layout, plone.app.linkintegrity, plone.app.mosaic, plone.app.multilingual, plone.app.multilingualindexes, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.textfield, plone.app.themingplugins, plone.app.users, plone.app.versioningbehavior, plone.app.vocabularies, plone.app.workflow, plone.app.z3cform, plone.autoinclude, plone.batching, plone.dexterity, plone.dotfiles, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.nl, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.recipe.zope2instance, plone.registry, plone.resource, plone.rest, plone.restapi, plone.staticresources, plone.testing, plone.volto, plone.z3cform, plonecli, ploneconf.org, ploneorg.core, ploneorg.theme, plonetheme.barceloneta, training, volto, volto-addon-ci",2021-01-03,2021-12-26
syslab,587,105,4,"ale-rt, reinhardt, svx, thet",44,"Installers-UnifiedInstaller, Products.CMFPlone, bobtemplates.plone, buildout.coredev, documentation, guillotina, mockup, pat-content-browser, plone.api, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.debugtoolbar, plone.app.dexterity, plone.app.event, plone.app.iterate, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.upgrade, plone.app.versioningbehavior, plone.app.widgets, plone.app.z3cform, plone.autoinclude, plone.dexterity, plone.recipe.haproxy, plone.reload, plone.resource, plone.restapi, plone.schemaeditor, plone.staticresources, plone.supermodel, plone.tiles, plone.volto, plone.z3cform, plonetheme.barceloneta, volto",2021-01-03,2021-12-19
kleinundpartner,528,69,1,jensens,42,"Installers-UnifiedInstaller, Products.CMFPlone, Products.PlonePAS, buildout.coredev, cookiecutter-zope-instance, documentation, mockup, old_plone.org, plone-frontend, plone.alterego, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.mosaic, plone.app.multilingualindexes, plone.app.portlets, plone.app.registry, plone.app.standardtiles, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.cachepurging, plone.dexterity, plone.formwidget.hcaptcha, plone.formwidget.namedfile, plone.formwidget.recaptcha, plone.i18n, plone.recipe.unifiedinstaller, plone.recipe.zope2instance, plone.registry, plone.rest, plone.restapi, plone.staticresources, plonecli, ploneorg.core, plonetheme.barceloneta, training",2021-01-17,2021-12-26
agitator,278,66,1,agitator,33,"Products.CMFEditions, Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone.app.blocks, plone.app.caching, plone.app.content, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.mosaic, plone.app.multilingual, plone.app.portlets, plone.app.registry, plone.app.robotframework, plone.app.standardtiles, plone.app.theming, plone.app.users, plone.app.workflow, plone.app.z3cform, plone.batching, plone.portlet.collection, plone.portlet.static, plone.rest, plone.staticresources, plone.z3cform, plonetheme.barceloneta, training",2021-01-10,2021-12-26
eau-de-web,257,195,5,"Petchesi-Iulian, avoinea, ichim-david, nileshgulia1, tiberiuichim",25,"Products.CMFPlone, buildout.coredev, critical-css-cli, plone-backend, plone-haproxy, plone.api, plone.app.caching, plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.iterate, plone.app.multilingual, plone.app.redirector, plone.app.versioningbehavior, plone.app.widgets, plone.dexterity, plone.docker, plone.portlet.collection, plone.restapi, plone.volto, training, volto, volto-addon-ci, volto-quanta",2021-01-10,2021-12-26
derico,243,25,1,MrTango,16,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, pat-content-browser, plone-vs-snippets, plone.app.contentrules, plone.app.layout, plone.app.portlets, plone.app.registry, plone.app.theming, plone.gallery, plone.pdfexport, plonecli, plonetheme.barceloneta, training",2021-01-24,2021-12-26
rohberg,207,72,1,ksuess,9,"guillotina, plone.app.blocks, plone.app.content, plone.app.standardtiles, plone.app.vocabularies, plone.restapi, plone.schema, training, volto",2021-01-31,2021-12-19
stevepiercy,196,15,1,stevepiercy,3,"demo.plone.org, training, volto",2021-04-11,2021-12-26
