username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
mauritsvanrees,1591,181,131,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDiffTool, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFFormController, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.Marshall, Products.MimetypesRegistry, Products.PloneLanguageTool, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, Products.contentmigration, Products.isurlinportal, Products.statusmessages, Products.validation, archetypes.schemaextender, borg.localrole, buildout.coredev, collective.monkeypatcher, diazo, five.intid, mockup, plone.alterego, plone.api, plone.app.blob, plone.app.caching, plone.app.collection, plone.app.content, plone.app.contentlisting, plone.app.contentmenu, plone.app.contentrules, plone.app.contenttypes, plone.app.controlpanel, plone.app.customerize, plone.app.debugtoolbar, plone.app.dexterity, plone.app.discussion, plone.app.event, plone.app.folder, plone.app.form, plone.app.i18n, plone.app.intid, plone.app.iterate, plone.app.layout, plone.app.ldap, plone.app.linkintegrity, plone.app.lockingbehavior, plone.app.multilingual, plone.app.portlets, plone.app.querystring, plone.app.redirector, plone.app.referenceablebehavior, plone.app.registry, plone.app.relationfield, plone.app.robotframework, plone.app.testing, plone.app.textfield, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.users, plone.app.uuid, plone.app.versioningbehavior, plone.app.viewletmanager, plone.app.vocabularies, plone.app.widgets, plone.app.workflow, plone.app.z3cform, plone.autoform, plone.batching, plone.behavior, plone.browserlayer, plone.cachepurging, plone.caching, plone.contentrules, plone.dexterity, plone.event, plone.folder, plone.formwidget.autocomplete, plone.formwidget.contenttree, plone.formwidget.namedfile, plone.formwidget.recurrence, plone.i18n, plone.indexer, plone.intelligenttext, plone.keyring, plone.locking, plone.memoize, plone.namedfile, plone.outputfilters, plone.portlet.collection, plone.portlet.static, plone.portlets, plone.protect, plone.recipe.alltests, plone.recipe.precompiler, plone.recipe.zeoserver, plone.recipe.zope2instance, plone.registry, plone.releaser, plone.reload, plone.resource, plone.resourceeditor, plone.rest, plone.restapi, plone.rfc822, plone.scale, plone.schema, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.subrequest, plone.supermodel, plone.synchronize, plone.testing, plone.theme, plone.tiles, plone.transformchain, plone.uuid, plone.z3cform, plonetheme.barceloneta, plonetheme.classic, plonetheme.sunburst, zodbverify",2020-01-05,2020-12-06
tisto,659,83,12,"Products.CMFPlone, buildout.coredev, plone.app.caching, plone.app.contenttypes, plone.app.dexterity, plone.app.versioningbehavior, plone.namedfile, plone.recipe.codeanalysis, plone.rest, plone.restapi, plone.volto, volto",2020-01-05,2020-12-20
sneridagh,564,149,10,"plone.app.contenttypes, plone.namedfile, plone.rest, plone.restapi, plone.volto, training, volto, volto-addon-ci, volto-quanta, volto-quanta-project",2020-01-12,2020-12-27
jensens,232,52,41,"Installers-UnifiedInstaller, Plone, Products.ATContentTypes, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.ResourceRegistries, Products.validation, buildout.coredev, five.intid, mockup, mr.roboto, plone.app.blob, plone.app.caching, plone.app.layout, plone.app.ldap, plone.app.multilingual, plone.app.multilingualindexes, plone.app.registry, plone.app.testing, plone.app.theming, plone.app.tiles, plone.app.upgrade, plone.app.vocabularies, plone.autoform, plone.dexterity, plone.folder, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.patternslib, plone.recipe.zope2instance, plone.rest, plone.restapi, plone.scale, plone.schemaeditor, plone.session, plone.staticresources, plone.stringinterp, plone.supermodel, plone.testing, plonetheme.barceloneta",2020-01-19,2020-12-20
bloodbare,193,33,4,"guillotina, guillotina-volto, pastanaga-angular, volto",2020-01-05,2020-12-20
MrTango,173,19,10,"Products.CMFPlone, ansible.plone_server, bobtemplates.plone, mockup, plone.app.layout, plone.app.theming, plone.app.upgrade, plone.gallery, plonecli, plonetheme.barceloneta",2020-02-09,2020-12-06
pbauer,154,28,17,"Products.ATContentTypes, Products.CMFPlone, Products.LinguaPlone, buildout.coredev, mockup, plone.app.caching, plone.app.content, plone.app.contenttypes, plone.app.dexterity, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.com-static, plone.staticresources, training, volto, zodbverify",2020-02-09,2020-12-06
ksuess,153,13,7,"plone.app.caching, plone.app.contentmenu, plone.app.discussion, plone.app.upgrade, plone.restapi, training, volto",2020-01-05,2020-12-20
thet,152,29,15,"Products.CMFPlone, bobtemplates.plone, buildout.coredev, mockup, plone.app.layout, plone.app.textfield, plone.app.upgrade, plone.app.widgets, plone.formwidget.hcaptcha, plone.formwidget.recaptcha, plone.memoize, plone.patternslib, plone.scale, plone.staticresources, plonetheme.barceloneta",2020-01-05,2020-12-06
tiberiuichim,149,72,3,"plone.restapi, training, volto",2020-01-12,2020-12-20
masipcat,115,49,3,"guillotina, guillotina_elasticsearch, guillotina_prometheus",2020-01-12,2020-11-29
agitator,115,14,9,"buildout.coredev, mockup, plone.app.mosaic, plone.app.standardtiles, plone.app.tiles, plone.batching, plone.jsonserializer, plone.staticresources, plonetheme.barceloneta",2020-01-26,2020-11-29
julienCarret,85,43,1,pastanaga-angular,2020-06-21,2020-12-13
vincentfretin,77,42,17,"Products.CMFPlone, buildout.coredev, documentation, mockup, plone.app.content, plone.app.contentmenu, plone.app.contenttypes, plone.app.discussion, plone.app.layout, plone.app.theming, plone.app.upgrade, plone.app.users, plone.app.vocabularies, plone.app.z3cform, plone.formwidget.namedfile, plone.staticresources, plonetheme.barceloneta",2020-03-15,2020-08-02
vangheem,71,64,4,"guillotina, guillotina_gcloudstorage, guillotina_prometheus, guillotina_s3storage",2020-01-05,2020-11-29
iFlameing,69,60,2,"training, volto",2020-04-12,2020-12-13
balavec,69,5,4,"mockup, plone.app.mosaic, plone.app.z3cform, plonetheme.barceloneta",2020-02-09,2020-11-22
ebrehault,67,56,1,pastanaga-angular,2020-06-07,2020-12-13
ale-rt,56,41,22,"Products.CMFPlone, buildout.coredev, plone.api, plone.app.content, plone.app.contentrules, plone.app.contenttypes, plone.app.dexterity, plone.app.layout, plone.app.redirector, plone.app.testing, plone.app.theming, plone.app.versioningbehavior, plone.app.workflowmanager, plone.autoform, plone.dexterity, plone.jsonserializer, plone.memoize, plone.protect, plone.recipe.zope2instance, plone.restapi, plone.supermodel, plone.z3cform",2020-01-05,2020-12-13
avoinea,50,34,9,"plone.app.contenttypes, plone.app.dexterity, plone.app.relationfield, plone.dexterity, plone.restapi, plone.schema, plone.schemaeditor, volto, volto-addon-ci",2020-02-23,2020-12-13
petschki,48,23,13,"Products.CMFPlone, mockup, plone.app.mosaic, plone.app.multilingual, plone.app.standardtiles, plone.app.upgrade, plone.app.users, plone.app.z3cform, plone.jsonserializer, plone.recipe.haproxy, plone.restapi, plone.staticresources, plonetheme.barceloneta",2020-04-19,2020-09-20
giuliaghisini,44,40,1,volto,2020-01-12,2020-11-29
fulv,43,10,10,"Plone, Products.CMFPlone, ansible-playbook, ansible.plone_server, bobtemplates.plone, plone.app.caching, plone.github.io, plone.restapi, ploneorg.core, ploneorg.theme",2020-02-16,2020-12-20
erral,39,29,9,"Products.CMFPlone, bobtemplates.plone, mockup, plone-vs-snippets, plone.app.content, plone.recipe.haproxy, plone.restapi, plone.z3cform, volto",2020-01-05,2020-12-13
lferran,37,28,3,"guillotina, guillotina_elasticsearch, guillotina_gcloudstorage",2020-03-01,2020-10-25
tkimnguyen,35,18,9,"Installers-UnifiedInstaller, ansible-playbook, plone.app.viewletmanager, plone.app.workflowmanager, plone.com-static, ploneconf2016.policy, ploneorg.core, ploneorg.theme, training",2020-01-12,2020-11-29
jaroel,33,1,8,"Products.CMFPlone, buildout.coredev, jenkins.plone.org, plone.app.contenttypes, plone.app.dexterity, plone.app.versioningbehavior, plone.dexterity, plone.supermodel",2020-03-29,2020-12-13
nzambello,29,24,1,volto,2020-02-09,2020-12-20
jackahl,25,19,2,"plone.restapi, volto",2020-01-05,2020-10-04
stevepiercy,23,4,3,"ansible-playbook, ansible.plone_server, training",2020-01-19,2020-07-05
tschorr,20,5,7,"Products.CMFPlone, Products.CMFQuickInstallerTool, Products.isurlinportal, buildout.coredev, plone.app.discussion, plone.recipe.zope2instance, plonetheme.barceloneta",2020-02-09,2020-09-27
datakurre,19,7,5,"plone.app.versioningbehavior, plone.formwidget.namedfile, plone.jsonserializer, plone.namedfile, volto",2020-01-26,2020-06-07
gforcada,18,6,5,"jenkins.plone.org, mr.roboto, plone.app.contenttypes, plone.scale, plone.stringinterp",2020-01-05,2020-12-13
ichim-david,16,1,2,"training, volto",2020-11-15,2020-12-13
smcmahon,16,4,2,"ansible-playbook, ansible.plone_server",2020-02-09,2020-07-26
steffenri,15,11,1,volto,2020-01-12,2020-10-11
robgietema,14,9,1,volto,2020-01-05,2020-04-05
terapyon,13,11,1,volto,2020-02-16,2020-12-06
gogobd,13,2,2,"plone.app.multilingualindexes, plone.app.querystring",2020-06-28,2020-07-19
jlp0328,12,7,1,pastanaga-angular,2020-09-13,2020-12-06
santonelli,12,9,5,"Products.CMFPlone, plone.app.layout, plone.app.theming, plone.staticresources, plonetheme.barceloneta",2020-04-19,2020-10-11
niglesiaszingoni,12,10,1,pastanaga-angular,2020-09-20,2020-12-13
jordic,12,4,2,"guillotina, guillotina_elasticsearch",2020-01-12,2020-12-06
esteele,11,0,5,"Products.CMFPlone, buildout.coredev, plone.restapi, plone.staticresources, volto",2020-01-05,2020-05-03
dgsmith2,11,3,1,pastanaga-angular,2020-10-04,2020-11-15
rodfersou,10,3,4,"plone.app.uuid, plone.restapi, plone.volto, volto",2020-01-19,2020-05-03
csenger,10,5,3,"plone.restapi, plone.volto, volto",2020-01-26,2020-08-09
jugmac00,10,7,6,"Products.ExtendedPathIndex, plone.app.mosaic, plone.namedfile, plone.recipe.zope2instance, plone.testing, zodbverify",2020-01-05,2020-10-04
nileshgulia1,10,14,1,volto,2020-02-09,2020-11-29
cekk,9,10,3,"Products.PortalTransforms, plone.restapi, volto",2020-03-08,2020-12-20
wesleybl,9,12,3,"bobtemplates.plone, buildout.coredev, plone.restapi",2020-10-25,2020-12-27
fredvd,9,11,7,"Products.CMFPlone, buildout.coredev, mockup, plone.namedfile, plone.staticresources, plonetheme.barceloneta, volto",2020-02-23,2020-11-22
Qiwn,8,8,2,"guillotina, guillotina_gcloudstorage",2020-09-06,2020-09-27
mpellerin42,8,90,1,pastanaga-angular,2020-10-11,2020-12-20
flipmcf,7,3,3,"mockup, plone.app.vocabularies, plone.outputfilters",2020-08-09,2020-11-01
pnicolli,7,6,2,"plone.docker, volto",2020-01-19,2020-10-18
silviubogan,7,2,1,volto,2020-07-26,2020-11-08
acatlla,6,1,1,guillotina_elasticsearch,2020-03-22,2020-03-22
tobiasherp,6,3,1,Installers-UnifiedInstaller,2020-07-19,2020-09-13
gbastien,6,3,1,plone.restapi,2020-06-14,2020-06-28
ionlizarazu,6,0,1,mockup,2020-03-22,2020-05-03
thomasmassmann,5,2,3,"Products.CMFPlone, Products.PortalTransforms, plone.app.upgrade",2020-04-05,2020-04-05
frapell,5,7,6,"Products.CMFPlone, mockup, plone.app.iterate, plone.app.upgrade, plone.patternslib, plone.staticresources",2020-03-08,2020-09-20
petri,5,2,2,"plone.app.theming, plonetheme.barceloneta",2020-05-17,2020-05-17
reinhardt,5,3,3,"documentation, planet.plone.org, training",2020-02-09,2020-04-19
zotya,4,3,1,volto,2020-09-13,2020-11-01
janjaapdriessen,4,2,1,plone.recipe.codeanalysis,2020-11-01,2020-11-01
LeuAlmeida,4,0,1,volto,2020-02-09,2020-02-09
mamico,4,5,5,"plone.app.caching, plone.app.multilingual, plone.formwidget.namedfile, plone.namedfile, plone.recipe.zope2instance",2020-01-26,2020-07-19
mpeeters,3,3,2,"plone.recipe.zope2instance, plone.restapi",2020-03-08,2020-09-13
buchi,3,0,1,plone.restapi,2020-03-15,2020-03-29
polyester,3,1,2,"papyrus, sphinxtheme.plone",2020-04-19,2020-06-28
Gomez,3,5,6,"mockup, plone.app.mosaic, plone.app.multilingual, plone.staticresources, plonetheme.barceloneta, training",2020-04-19,2020-11-29
razvanMiu,3,2,1,volto,2020-07-26,2020-10-18
Gagaro,3,0,1,plone.restapi-angular,2020-06-14,2020-06-21
1letter,3,3,3,"Products.ResourceRegistries, plone.app.event, plonetheme.barceloneta",2020-03-08,2020-07-26
iham,3,1,2,"Products.Archetypes, plone.app.multilingual",2020-05-03,2020-10-18
Petchesi-Iulian,2,0,1,plone.restapi,2020-08-23,2020-08-23
robdayz,2,0,1,plone.volto,2020-01-26,2020-01-26
lukasgraf,2,2,1,plone.restapi,2020-01-19,2020-01-19
nilshofer,2,2,2,"Installers-UnifiedInstaller, plonetheme.barceloneta",2020-07-26,2020-07-26
fazalsulaiman,2,2,1,plone.recipe.zeoserver,2020-08-02,2020-08-09
ableeb,2,3,1,guillotina,2020-04-19,2020-05-17
pfreixes,2,4,2,"guillotina, guillotina_s3storage",2020-06-14,2020-06-14
waghanza,2,1,1,guillotina,2020-12-13,2020-12-13
